painting_no,technique_id,height_cm,width_cm,radius_cm,year,material_id,artist_id,owner_id,photo,AÇIKLAMA
150,,,,,,,,,BOŞ,
151,,,,,,,,,BOŞ,
152,,,,,,,,,BOŞ,
153,,,,,,,,,BOŞ,
154,,,,,,,,,BOŞ,
155,,,,,,,,,BOŞ,
156,6,21,29,,2012,2,1,,,
157,6,"29,5",42,,2011,2,1,,,
158,6,"30,5",31,,2011,2,1,,,
159,6,30,30,,2011,2,1,,,
160,6,30,35,,2011,2,1,,,
161,6,23,29,,2011,2,1,,,
162,6,"25,5","29,5",,2012,2,1,,,
163,,,,,,,,,BOŞ,
164,6,"22,5","29,5",,2011,2,1,,,
165,,,,,,,,,BOŞ,
166,6,24,25,,2011,2,1,,,
167,,,,,,,,,BOŞ,
168,,,,,,,,,BOŞ,
169,,,,,,,,,BOŞ,
170,,,,,,,,,BOŞ,
171,1,25,35,,2008,2,1,1,,
172,1,35,50,,1987,2,1,1,,
173,1,38,44,,2014,2,1,1,,
174,6,26,31,,2013,2,1,1,,
175,1,37,37,,1980,2,1,1,,
176,6,38,38,,2013,2,1,1,,
177,6,32,35,,2013,2,1,1,,
178,1,35,29,,2012,2,1,1,,
179,1,30,34,,2014,2,1,1,,
180,1,29,29,,1981,2,1,1,,
181,1,29,39,,2014,2,1,1,,
182,6,20,37,,2013,2,1,1,,
183,6,"27,5","47,5",,2013,2,1,1,,
184,6,"29,5","29,5",,2013,2,1,1,,
185,1,35,47,,2000,2,1,1,,
186,6,29,47,,2013,2,1,1,,
187,1,35,47,,2007,2,1,1,,
188,1,25,32,,2008,2,1,1,,
189,6,"32,5",40,,2013,2,1,1,,
190,6,"25,5",40,,2013,2,1,1,,
191,1,30,45,,2014,2,1,1,,
192,6,29,"32,5",,2012,2,1,1,,
193,6,"22,5",30,,2013,2,1,1,,
194,1,33,42,,1992,2,1,1,,
195,1,22,33,,2001,2,1,1,,
196,1,"22,5",35,,1994,2,1,1,,
197,1,22,"35,5",,1982,2,1,1,,
198,1,25,34,,2014,2,1,1,,
199,6,21,35,,2014,2,1,1,,
200,9,"22,5",35,,2014,2,1,1,,
201,9,25,35,,2010,2,1,1,,
202,9,22,"34,5",,2010,2,1,1,,
203,9,22,"34,5",,2009,2,1,1,,
204,9,22,35,,2010,2,1,1,,
205,1,26,34,,2014,2,1,1,,
206,1,25,40,,2013,2,1,1,,
207,1,"22,5",35,,2014,2,1,1,,
208,1,"24,5",30,,1987,2,1,1,,
209,1,"27,5","27,5",,2014,2,1,1,,
210,1,30,"40,5",,1986,2,1,1,,
211,9,"21,5",35,,2010,2,1,1,,
212,9,22,"33,5",,2010,2,1,1,,
213,1,25,32,,2008,2,1,1,,
214,1,30,"46,5",,1987,2,1,1,,
215,1,26,38,,2009,2,1,1,,
216,1,"28,5",36,,2014,2,1,1,,
217,1,35,48,,2014,2,1,1,,
218,1,33,"35,5",,1984,2,1,1,,
219,1,30,37,,2014,2,1,1,,
220,1,27,42,,2014,2,1,1,,
221,1,"32,5","47,5",,2014,2,1,1,,
222,1,25,35,,1980,2,1,1,,
223,1,23,33,,2014,2,1,1,,
224,1,21,32,,1990,2,1,1,,
225,1,21,32,,2014,2,1,1,,
226,1,35,36,,2010,2,1,1,,
227,1,"27,5","46,5",,2014,2,1,1,,
228,1,30,"44,5",,2014,2,1,1,,
229,1,30,39,,2015,2,1,1,,
230,1,"30,5",39,,2015,2,1,1,,
231,1,27,42,,2012,2,1,1,,
232,6,24,"32,5",,2012,2,1,1,,
233,6,"26,5",40,,2012,2,1,1,,
234,6,26,35,,2012,2,1,1,,
235,6,"30,5","31,5",,2012,2,1,1,,
236,6,25,"35,5",,2013,2,1,1,,
237,6,31,37,,2013,2,1,1,,
238,6,30,33,,2012,2,1,1,,
239,6,25,35,,2012,2,1,1,,
240,6,33,"34,5",,2012,2,1,1,,
241,6,32,36,,2012,2,1,1,,
242,6,30,33,,2012,2,1,1,,
243,6,33,"34,5",,2012,2,1,1,,
244,6,24,"44,5",,2011,2,1,1,,
245,6,"28,5",35,,2012,2,1,1,,
246,6,30,35,,2012,2,1,1,,
247,6,26,35,,2012,2,1,1,,
248,6,26,35,,2012,2,1,1,,
249,6,26,35,,2012,2,1,1,,
250,6,26,36,,2012,2,1,1,,
251,6,34,48,,2012,2,1,1,,
252,6,20,50,,2013,2,1,1,,
253,6,"19,5",46,,2013,2,1,1,,
254,1,"35,5",48,,2015,2,1,1,,
255,6,23,23,,2012,2,1,1,,
256,6,24,24,,2012,2,1,1,,
257,6,24,26,,2013,2,1,1,,
258,6,"23,5",25,,2012,2,1,1,,
259,6,"16,5","41,5",,2012,2,1,1,,
260,6,"17,5","32,5",,2012,2,1,1,,
261,6,19,34,,2012,2,1,1,,
262,6,20,"34,5",,2012,2,1,1,,
263,6,"19,5",33,,2011,2,1,1,,
264,6,"19,5",33,,2011,2,1,1,,
265,6,19,30,,2012,2,1,1,,
266,6,19,34,,2012,2,1,1,,
267,6,21,"29,5",,2012,2,1,1,,
268,6,"18,5",31,,2012,2,1,1,,
269,6,19,35,,2012,2,1,1,,
270,6,"19,5",33,,2013,2,1,1,,
271,6,24,25,,2012,2,1,1,,
272,6,"22,5","34,5",,2012,2,1,1,,
273,6,22,35,,2012,2,1,1,,
274,6,23,27,,2012,2,1,1,,
275,6,"23,5","33,5",,2012,2,1,1,,
276,6,21,28,,2012,2,1,1,,
277,6,26,30,,2012,2,1,1,,
278,6,26,30,,2013,2,1,1,,
279,6,29,"32,5",,2013,2,1,1,,
280,6,"31,5",32,,2013,2,1,1,,
281,6,26,"45,5",,2013,2,1,1,,
282,6,30,35,,2013,2,1,1,,
283,6,35,"35,5",,2013,2,1,1,,
284,6,25,34,,2013,2,1,1,,
285,6,"26,5","32,5",,2013,2,1,1,,
286,6,27,30,,2013,2,1,1,,
287,6,28,30,,2013,2,1,1,,
288,6,27,30,,2013,2,1,1,,
289,6,"20,5",38,,2013,2,1,1,,
290,6,23,43,,2013,2,1,1,,
291,6,23,"37,5",,2013,2,1,1,,
292,6,30,38,,2012,2,1,1,,
293,6,"27,5","47,5",,2013,2,1,1,,
294,6,"18,5",30,,2013,2,1,1,,
295,6,17,"29,5",,2013,2,1,1,,
296,6,24,31,,2013,2,1,1,,
297,6,23,30,,2013,2,1,1,,
298,6,35,35,,2013,2,1,1,,
299,6,26,41,,2013,2,1,1,,
300,6,35,35,,2013,2,1,1,,
301,6,24,24,,2013,2,1,1,,
302,6,26,28,,2013,2,1,1,,
303,6,20,25,,2013,2,1,1,,
304,6,28,29,,2013,2,1,1,,
305,6,25,32,,2013,2,1,1,,
306,6,22,23,,2013,2,1,1,,
307,6,35,35,,2013,2,1,1,,
308,6,33,"34,5",,2013,2,1,1,,
309,6,"30,5","47,5",,2013,2,1,1,,
310,6,23,"46,5",,2013,2,1,1,,
311,1,22,"30,5",,2014,6,1,1,,
312,1,26,34,,2014,6,1,1,,
313,9,28,"35,5",,2010,6,1,1,,
314,1,29,"32,5",,2007,2,1,1,,
315,6,22,30,,2013,2,1,1,,
316,6,28,32,,2010,2,1,1,,
317,1,29,32,,2014,2,1,1,,
318,6,18,35,,2013,2,1,1,,
319,6,20,40,,2013,2,1,1,,
320,6,27,"44,5",,2013,2,1,1,,
321,1,"29,5","41,5",,2014,2,1,1,,
322,6,23,42,,2012,2,1,1,,
323,6,29,"31,5",,2012,2,1,1,,
324,6,"37,5","29,5",,2012,2,1,1,,
325,6,31,38,,2012,2,1,1,,
326,6,29,37,,2012,2,1,1,,
327,6,26,36,,2012,2,1,1,,
328,6,30,35,,2012,2,1,1,,
329,6,19,38,,2012,2,1,1,,
330,6,28,"34,5",,2013,2,1,1,,
331,6,"26,5",28,,2013,2,1,1,,
332,6,"28,5",34,,2013,2,1,1,,
333,1,"27,5","35,5",,2014,2,1,1,,
334,6,25,32,,2013,2,1,1,,
335,6,26,35,,2012,2,1,1,,
336,6,26,35,,2012,2,1,1,,
337,6,26,35,,2012,2,1,1,,
338,6,26,35,,2012,2,1,1,,
339,1,"24,5",43,,2006,2,1,1,,
340,6,17,33,,2011,2,1,1,,
341,1,35,36,,2014,3,1,1,,
342,1,30,45,,2014,2,1,1,,
343,1,36,43,,2015,2,1,1,,
344,1,"35,5",47,,2015,,1,2,YOK,
345,1,30,40,,2015,2,1,1,,
346,1,30,40,,2015,2,1,1,,
347,1,30,40,,2015,2,1,1,,
348,1,"32,5",45,,2015,2,1,1,,
349,1,29,"47,5",,2015,2,1,1,,
350,1,"24,5",30,,2012,2,1,1,,
351,1,25,"31,5",,1996,2,1,1,,
352,1,25,35,,1998,2,1,1,,
353,1,26,"26,5",,1981,2,1,1,,
354,1,30,35,,2012,2,1,1,,
355,1,18,43,,2007,2,1,1,,
356,1,22,35,,1981,2,1,1,,
357,1,"27,5",39,,2014,2,1,1,,
358,1,"24,5",35,,2001,2,1,1,,
359,1,"21,5",39,,2012,2,1,1,,
360,1,24,"28,5",,1982,2,1,1,,
361,1,29,41,,1978,2,1,1,,
362,1,25,32,,2009,2,1,1,,
363,1,25,32,,2007,6,1,1,,
364,1,22,35,,1981,6,1,1,,
365,1,16,41,,2009,2,1,1,,
366,1,"16,5",41,,2005,2,1,1,YOK,
367,1,"19,5",44,,2010,2,1,1,,
368,1,31,39,,2013,6,1,1,,
369,1,35,38,,1982,6,1,1,,
370,9,22,35,,2013,6,1,1,,
371,1,"22,5",35,,2006,6,1,1,,
372,1,35,22,,2013,6,1,1,,
373,1,27,35,,1980,6,1,1,BULANIK,
374,1,19,44,,2006,6,1,1,,
375,1,28,38,,2013,2,1,1,,
376,6,"25,5","33,5",,2014,2,1,1,,
377,1,40,30,,1981,3,1,1,,
378,1,26,36,,2014,2,1,1,,
379,1,22,35,,2008,6,1,1,,
380,1,22,35,,1987,6,1,1,,
381,1,25,30,,1985,6,1,1,,
382,1,29,"32,5",,1980,6,1,1,,
383,1,22,35,,1981,6,1,1,,
384,1,"22,5","34,5",,2008,6,1,1,,
385,1,"21,5",36,,2007,2,1,1,,
386,1,33,"38,5",,1984,6,1,1,,
387,1,"30,5","30,5",,2011,6,1,1,,
388,1,"25,5","25,5",,2013,2,1,1,,
389,1,22,"35,5",,2008,6,1,1,BULANIK,
390,1,22,"35,5",,1986,6,1,1,,
391,1,30,40,,1981,6,1,1,,
392,1,25,30,,1995,6,1,1,,
393,1,22,35,,2012,6,1,1,BULANIK,
394,1,25,35,,2009,6,1,1,,
395,1,"17,5","27,5",,2013,2,1,1,,
396,1,22,35,,1984,6,1,1,,
397,,25,30,,,,1,1,YOK,?
398,1,25,32,,2007,6,1,1,,
399,1,35,35,,1987,6,1,1,,
400,1,"21,5",30,,2000,6,1,1,,
401,1,"31,5",25,,2012,2,1,1,,
402,,"16,5",20,,,,1,1,YOK,?
403,1,35,35,,2001,6,1,1,,
404,1,35,25,,2011,6,1,1,,
405,1,25,17,,2009,6,1,1,,
406,1,25,"31,5",,2009,6,1,1,BULANIK,
407,1,40,30,,1985,6,1,1,,
408,1,41,31,,2012,2,1,1,,
409,1,"21,5",25,,1978,6,1,1,,
410,1,34,24,,1978,6,1,1,,
411,1,25,27,,1983,6,1,1,,
412,1,"27,5",31,,1989,6,1,1,,
413,1,"29,5",25,,2006,2,1,1,,
414,1,35,22,,1981,3,1,1,,
415,1,"35,5",22,,1985,3,1,1,,
416,1,25,"17,5",,2006,2,1,1,,
417,1,15,30,,2000,2,1,1,,
418,1,32,17,,2009,2,1,1,,
419,1,18,32,,1998,2,1,1,,
420,1,"28,5","19,5",,1998,2,1,1,,
421,1,"29,5","24,5",,1993,2,1,1,,
422,1,34,"15,5",,1983,3,1,1,,
423,1,35,22,,1981,3,1,1,,
424,1,35,22,,1982,3,1,1,BULANIK,
425,,"24,5",30,,,,1,1,YOK,?
426,1,25,17,,1991,6,1,1,,
427,1,"15,5","29,5",,2013,,1,1,YOK,
428,1,15,21,,1978,,1,1,YOK,
429,1,"16,5","24,5",,2008,,1,1,YOK,
430,6,18,"21,5",,2011,,1,1,YOK,
431,1,"9,5",32,,2008,,1,1,YOK,
432,1,"33,5",48,,2015,,1,1,YOK,
433,9,25,17,,2010,3,1,1,,
434,1,"14,5","26,5",,2011,,1,1,YOK,
435,1,"17,5",25,,2006,2,1,1,,
436,1,25,17,,2006,2,1,1,,
437,1,"17,5",25,,2006,3,1,1,,
438,1,"17,5",25,,2006,6,1,1,,
439,9,20,30,,2009,,1,1,YOK,
440,1,17,22,,2009,,1,1,YOK,
441,1,"17,5",22,,2009,,1,1,YOK,
442,1,25,17,,2009,3,1,1,,
