painting_no,technique_id,height_cm,width_cm,radius_cm,year,material_id,artist_id,owner_id,photo,AÇIKLAMA
641,6,"20,5",39,,2013,2,1,1,,
642,6,20,"36,5",,2013,2,1,1,,
643,6,23,29,,2013,3,1,21,YOK,
644,6,"23,5",25,,2013,2,1,1,,
645,6,18,"33,5",,2013,2,1,1,,
646,6,25,44,,2014,2,1,1,,
647,6,22,34,,2013,6,1,1,,
648,6,"23,5",38,,2013,2,1,1,,
649,6,24,41,,2013,2,1,1,,
650,6,25,35,,2013,2,1,1,,
651,6,26,32,,2014,2,1,1,,
652,6,28,32,,2014,2,1,1,,
653,6,21,40,,2013,2,1,1,,
654,9,20,39,,2013,2,1,1,,
655,6,20,"39,5",,2013,2,1,1,,
656,6,"25,5","34,5",,2013,2,1,1,,
657,6,26,45,,2014,2,1,1,,
658,6,25,32,,2013,2,1,1,,
659,9,25,34,,2013,2,1,1,,
660,1,26,"48,5",,2012,6,1,1,,
661,6,20,40,,2013,2,1,1,,
662,6,26,"33,5",,2013,2,1,1,,
663,6,"19,5",33,,2014,2,1,1,,
664,6,24,45,,2013,2,1,1,,
665,6,25,"44,5",,2014,2,1,1,,
666,6,22,36,,2013,2,1,1,,
667,9,17,34,,2014,6,1,1,,
668,6,23,45,,2014,2,1,1,,
669,6,27,38,,2013,6,1,1,,
670,6,28,"37,5",,2014,2,1,1,,
671,6,25,35,,2014,2,1,1,,
672,6,26,44,,2013,2,1,1,,
673,6,28,"45,5",,2013,2,1,1,,
674,9,29,32,,2013,6,1,1,,
675,9,25,33,,2013,2,1,1,,
676,6,"19,5",35,,2013,,1,1,YOK,
677,9,29,32,,2014,2,1,1,,
678,6,25,38,,2013,2,1,1,,
679,6,25,31,,2013,2,1,1,,
680,6,20,35,,2013,2,1,1,,
681,6,"24,5",28,,2013,2,1,1,,
682,6,25,30,,2013,2,1,1,,
683,6,26,30,,2013,2,1,1,,
684,6,26,30,,2013,2,1,1,,
685,6,"21,5",35,,2013,2,1,1,,
686,6,"21,5","32,5",,2013,2,1,1,,
687,6,27,"34,5",,2013,2,1,1,,
688,6,"22,5",28,,2013,2,1,1,,
689,6,"25,5",34,,2013,2,1,1,,
690,6,"23,5","34,5",,2013,2,1,1,,
691,6,28,33,,2013,2,1,1,,
692,9,"28,5",35,,2014,2,1,1,,
693,6,"25,5",35,,2013,,1,1,YOK,?
694,6,27,45,,2014,2,1,1,,
695,1,28,38,,2014,2,1,1,,
696,6,"29,5","41,5",,2013,2,1,1,,
697,6,30,42,,2014,2,1,1,,
698,6,"29,5",42,,2013,2,1,1,,
699,1,25,33,,2014,2,1,1,,
700,6,30,45,,2014,,1,21,YOK,
701,6,30,40,,2013,3,1,1,,
702,1,22,35,,2012,6,1,1,,
703,1,25,30,,1990,6,1,1,,
704,1,25,30,,2005,6,1,1,,
705,9,22,38,,2014,2,1,1,,
706,6,25,30,,2014,6,1,1,,
707,1,20,34,,2014,2,1,1,,
708,1,20,29,,2009,6,1,1,,
709,1,25,36,,2013,2,1,1,,
710,1,19,38,,2013,2,1,1,,
711,1,25,30,,2006,6,1,1,,
712,1,25,29,,2012,2,1,1,,
713,1,24,30,,1993,6,1,1,,
714,1,25,30,,2013,6,1,1,,
715,1,25,30,,1985,6,1,1,,
716,1,25,30,,2001,6,1,1,,
717,1,30,40,,1980,3,1,1,YOK,
718,1,30,39,,1995,6,1,1,,
719,1,30,40,,1981,3,1,1,,
720,1,"46,5","33,5",,1975,6,1,1,,
721,1,36,54,,2013,5,1,1,,
722,6,30,34,,2013,2,1,1,,
723,6,30,40,,2013,2,1,1,,
724,1,31,44,,1982,6,1,1,,
725,6,30,37,,2013,2,1,1,,
726,1,"32,5","32,5",,2013,2,1,1,,
727,1,35,50,,2013,5,1,1,,
728,1,35,35,,1991,6,1,1,,
729,1,32,49,,2013,2,1,1,,
730,1,"29,5","33,5",,1982,6,1,1,YOK,
731,1,35,35,,2014,5,1,1,,
732,1,"32,5",35,,2008,6,1,1,,
733,1,35,35,,2014,5,1,1,,
734,1,35,36,,2014,5,1,1,,
735,1,35,35,,2014,5,1,1,,
736,6,35,47,,2013,2,1,1,,
737,6,30,39,,2013,2,1,1,,
738,1,35,48,,1982,3,1,1,,
739,6,30,32,,2013,3,1,1,,
740,6,31,32,,2013,,1,1,YOK,?
741,6,"32,5",43,,2013,2,1,1,,
742,6,"37,5","39,5",,2013,2,1,1,,
743,6,33,48,,2014,2,1,1,,
744,6,33,35,,2013,2,1,1,,
745,6,32,35,,2013,2,1,1,,
746,6,31,32,,2013,,1,21,YOK,
747,6,30,"32,5",,2013,2,1,1,,
748,1,30,35,,2013,2,1,1,,
749,6,"30,5",40,,2013,,1,1,YOK,?
750,6,25,45,,2014,2,1,1,,
751,9,33,43,,2014,2,1,1,,
752,1,24,49,,1980,6,1,1,,
753,1,35,50,,1989,6,1,1,,
754,1,37,50,,2013,5,1,1,,
755,1,28,48,,2013,2,1,1,,
756,1,35,"47,5",,2012,3,1,1,,
757,1,27,45,,2012,2,1,1,,
758,1,34,40,,1983,6,1,1,,
759,1,35,45,,1980,6,1,1,,?
760,1,22,43,,2008,,1,1,YOK,
761,1,22,43,,2008,2,1,1,BULANIK,
762,1,22,39,,1980,6,1,1,,
763,1,39,40,,2014,6,1,1,YOK,
764,1,"25,5","36,5",,2013,2,1,1,YOK,
765,1,"29,5",42,,2005,2,1,1,YOK,
766,1,"24,5",30,,2007,2,1,1,,
767,1,30,30,,2007,2,1,1,,
768,1,30,35,,2012,2,1,1,,
769,1,30,32,,2012,2,1,1,,
770,1,29,29,,2012,2,1,1,,
771,1,30,37,,2003,6,1,1,YOK,
772,1,29,40,,2003,6,1,1,,
773,1,35,35,,1980,6,1,1,,
774,1,23,29,,2011,2,1,1,,
775,1,25,"29,5",,2005,3,1,1,,
776,6,24,27,,2012,2,1,1,,
777,1,22,35,,1983,6,1,1,,
778,1,30,39,,2012,2,1,1,YOK,
779,6,23,"44,5",,2010,2,1,1,,
780,1,"29,5",42,,1995,2,1,1,,
781,1,35,"38,5",,2008,6,1,1,,
782,1,"33,5","42,5",,2006,,1,1,YOK,
783,1,"34,5",35,,2012,6,1,1,,
784,1,29,38,,2013,2,1,1,,
785,1,30,30,,1988,6,1,1,,
786,1,30,50,,1988,,1,1,YOK,?
787,1,"34,5","38,5",,1984,6,1,1,,
788,1,35,"47,5",,2009,6,1,1,YOK,
789,1,35,47,,2002,3,1,1,,
790,1,28,55,,1983,2,1,1,,
791,1,18,45,,2008,,1,1,,
792,6,18,39,,2013,,1,1,,
793,1,19,48,,2008,,1,1,,
794,6,"9,5","45,5",,2010,,1,1,BULANIK,
795,1,20,43,,2008,,1,1,,
796,1,16,42,,2013,,1,1,,
797,6,"17,5",47,,2013,,1,1,,
798,6,15,48,,2014,,1,1,,
799,6,"17,5",46,,2013,,1,1,,
800,6,"20,5",46,,2013,,1,1,,
801,1,12,37,,2005,,1,1,,
802,6,18,40,,2013,,1,1,,
803,9,16,40,,2013,,1,1,,
804,6,19,39,,2014,,1,1,,
805,6,23,47,,2013,,1,1,BULANIK,
806,6,20,40,,2013,,1,1,,
807,1,20,49,,2013,,1,1,,
808,1,17,43,,2013,,1,1,BULANIK,
809,1,17,48,,1998,,1,1,,
810,1,18,48,,2012,,1,1,,
811,6,23,"45,5",,2013,,1,1,,
812,9,20,47,,2014,,1,1,,
813,6,"16,5",45,,2014,,1,1,,
814,6,15,32,,2013,,1,1,,
815,6,14,"32,5",,2013,,1,1,,
816,9,25,53,,2014,,1,1,,
817,1,18,47,,2000,,1,1,,
818,6,"17,5",35,,2014,,1,1,,
819,1,17,48,,1994,,1,1,,
820,6,"21,5",44,,2010,,1,1,,
821,1,"25,5",35,,2014,,1,1,,
822,1,"27,5",35,,2014,,1,1,,
823,1,31,35,,2014,,1,1,,
824,1,28,33,,2014,,1,1,,
825,1,"23,5","34,5",,2014,,1,1,,
826,1,30,"33,5",,2014,,1,1,,
827,1,27,45,,2014,,1,1,,
828,1,28,"43,5",,2014,,1,1,,
829,1,26,38,,2014,,1,1,,
830,1,"26,5",40,,2014,,1,1,,
831,1,"29,5",42,,2014,,1,1,YOK,
832,1,30,40,,2014,,1,1,,
833,1,30,40,,2014,,1,1,,
834,1,"17,5","33,5",,2014,,1,1,YOK,
835,1,"17,5",32,,2014,,1,1,,
836,1,17,48,,2005,,1,1,,
837,1,17,48,,2000,,1,1,,
838,1,18,48,,2008,,1,1,BULANIK,
839,6,21,51,,2013,,1,1,,
840,1,17,48,,2005,,1,1,,
841,1,17,42,,2000,,1,1,,
842,1,25,42,,2013,,1,1,,
843,1,18,48,,2006,,1,1,,HASARLI
844,6,"22,5",52,,2014,,1,1,,
845,1,21,50,,2014,,1,1,,
846,1,"18,5",48,,2002,,1,1,,
847,1,20,50,,2000,,1,1,,
848,1,25,45,,2011,,1,1,,
849,1,25,46,,2014,,1,1,,
850,1,20,33,,2014,,1,1,,
851,1,19,33,,2014,,1,1,,
852,1,"21,5",39,,2014,,1,1,,
853,1,"18,5",36,,2014,,1,1,,
854,6,"25,5","38,5",,2013,,1,1,,
855,1,"23,5",49,,1982,,1,1,,
856,6,16,39,,2013,,1,1,,
857,6,"9,5",39,,2012,,1,1,,
858,6,"11,5",39,,2012,,1,1,,
859,6,"12,5","41,5",,2012,,1,1,BULANIK,
860,6,14,"34,5",,2012,,1,1,BULANIK,
861,6,14,"39,5",,2012,,1,1,,
862,6,10,33,,2012,,1,1,,
863,6,14,35,,2012,,1,1,,
864,6,12,40,,2012,,1,1,,
865,6,12,36,,2012,,1,1,,
866,6,8,46,,2012,,1,1,,
867,6,"12,5",43,,2013,,1,1,,
868,6,12,46,,2012,,1,1,,
869,6,"13,5",38,,2012,,1,1,,
870,6,"13,5","32,5",,2012,,1,1,,
871,6,10,41,,2011,,1,1,,
872,1,"8,5",38,,2014,,1,1,,
873,1,15,"30,5",,1981,,1,1,,
874,6,18,35,,2011,,1,1,,
875,6,"16,5","34,5",,2011,,1,1,,
876,6,"17,5","32,5",,2012,,1,1,,
877,1,35,55,,2005,6,1,1,,
878,1,"28,5",32,,2014,6,1,1,,
879,1,35,47,,1991,6,1,1,,
880,1,"32,5",48,,2014,3,1,1,,
881,1,17,"47,5",,2002,3,1,1,,
882,1,25,"29,5",,2006,3,1,1,,
883,1,25,30,,2006,3,1,1,,
884,1,30,55,,2013,1,1,1,,
885,1,"28,5","38,5",,1984,1,1,1,,
886,1,26,38,,1994,3,1,1,,
887,1,24,42,,1984,3,1,1,,
888,1,35,40,,2000,1,1,1,,
889,1,39,39,,2007,1,1,1,,
890,1,40,45,,1999,1,1,1,,
891,1,30,48,,1991,1,1,1,,
892,1,"32,5",38,,1988,6,1,1,,
893,1,"18,5","29,5",,1984,3,1,1,,
894,1,24,41,,1984,6,1,1,,
895,1,35,"55,5",,2010,1,1,1,,
896,1,34,44,,2012,1,1,1,,
897,1,17,"47,5",,2002,6,1,1,YOK,
898,1,17,"47,5",,2002,3,1,1,YOK,
899,1,17,"47,5",,2002,3,1,1,,
900,1,"17,5",25,,2012,,1,1,BULANIK,
901,1,17,25,,2010,,1,1,,
902,1,21,24,,2014,,1,1,,
903,1,"22,5",24,,2013,,1,1,,
904,1,21,22,,2012,,1,1,,
905,9,"18,5",25,,2013,,1,1,,
906,6,20,25,,2013,,1,1,,
907,1,17,25,,2012,,1,1,,
908,1,"17,5",25,,2010,,1,1,,
909,1,15,30,,1978,,1,1,,
910,6,21,26,,2012,,1,1,,
911,6,17,32,,2014,,1,1,,
912,6,17,30,,2013,,1,31,YOK,
913,6,23,"23,5",,2013,,1,1,,
914,6,22,"24,5",,2013,,1,1,,
915,6,15,"25,5",,2013,,1,1,BULANIK,
916,6,"19,5",25,,2014,,1,1,,
917,6,19,"28,5",,2013,,1,1,,
918,6,16,23,,2014,,1,1,,
919,6,"16,5","22,5",,2013,,1,1,,
920,6,19,22,,2013,,1,1,,
921,6,19,"19,5",,2013,,1,1,,
922,1,17,25,,2011,,1,1,,
923,6,"17,5",24,,2013,,1,1,,
924,6,18,18,,2013,,1,1,,
925,6,15,21,,2013,,1,1,,
926,6,21,"22,5",,2013,,1,1,,
927,6,"18,5",25,,2013,,1,1,,
928,9,15,28,,2013,,1,1,BULANIK,
929,6,"19,5",30,,2009,,1,1,,
930,1,20,29,,1987,,1,1,,
931,1,22,35,,2014,,1,1,,
932,1,"20,5",35,,2014,,1,1,,
933,9,30,33,,2014,,1,1,,
934,1,30,39,,2012,,1,1,,
935,1,24,35,,2012,,1,1,,
936,1,22,35,,2013,,1,1,,
937,1,24,36,,2014,,1,1,,
938,6,30,36,,2014,,1,1,,
939,1,"29,5",40,,1987,,1,1,,
940,1,22,35,,2010,,1,1,BULANIK,
941,9,22,35,,2014,,1,1,,
942,1,"33,5",45,,1981,,1,1,,
943,1,32,48,,2013,,1,1,,
944,6,"26,5","45,5",,2012,,1,1,,
945,6,30,46,,2012,,1,1,,
946,1,"33,5","37,5",,2006,,1,1,,
947,1,"33,5","50,5",,1994,,1,1,,
948,1,31,48,,1993,,1,1,BULANIK,
949,1,31,"37,5",,1994,,1,1,,
950,1,34,34,,1985,,1,1,,
951,1,"35,5",48,,1986,,1,1,,
952,1,27,"39,5",,2009,,1,1,,
953,1,35,50,,2005,,1,1,,
954,1,35,47,,2014,,1,1,,
955,1,41,56,,2014,,1,1,,
956,1,21,30,,1994,,1,1,,
957,1,33,43,,1980,,1,1,,
958,1,35,50,,2005,,1,1,,
959,1,42,50,,2014,,1,1,,
960,1,35,49,,2006,,1,1,BULANIK,
961,1,37,50,,2014,3,1,1,YOK,
962,1,35,50,,2013,,1,1,YOK,
963,1,34,47,,1990,,1,1,,İMZASI BELİRSİZ
964,1,"29,5","49,5",,2013,,1,1,,
965,1,"31,5",54,,1992,,1,1,,
966,1,"33,5",49,,1981,,1,1,,
967,1,"33,5","37,5",,1983,,1,1,,
968,1,"27,5","47,5",,1981,,1,1,YOK,
969,1,35,50,,1983,,1,1,,İMZASIZ
970,1,35,50,,1986,,1,1,,
971,1,33,"41,5",,1985,,1,1,,
972,1,"33,5",50,,1984,,1,1,,
973,1,"45,5","49,5",,1987,,1,1,,
974,1,"37,5","37,5",,1995,,1,1,,
975,1,"31,5",50,,2005,,1,21,YOK,
976,1,"34,5",50,,2005,,1,1,,
977,1,35,50,,2005,,1,1,,
978,1,35,50,,2008,,1,1,,
979,1,35,45,,2008,,1,1,,
980,1,35,50,,2008,,1,1,,
981,1,"37,5","56,5",,2001,,1,1,,
982,1,"45,5",46,,2009,,1,1,,
983,1,"45,5",46,,2008,,1,1,,
984,1,"39,5",50,,2012,,1,1,,
985,1,25,40,,1995,,1,1,,
986,1,35,40,,1993,,1,1,,
987,1,31,52,,2008,,1,1,,
988,1,34,45,,1993,,1,1,,
989,6,28,54,,2011,,1,1,,
990,6,"27,5",50,,2011,,1,1,,
991,1,27,"49,5",,2012,,1,1,,
992,6,28,43,,2010,,1,1,,
993,1,29,"41,5",,2012,,1,1,,
994,1,"36,5",47,,2008,,1,1,,
995,1,"35,5",48,,2008,,1,1,,
996,1,30,33,,1992,,1,1,,
997,1,35,40,,1993,,1,1,,
998,1,35,"38,5",,1994,,1,1,,
999,1,35,"38,5",,2003,,1,1,,
1000,1,35,47,,2014,,1,1,,
1001,1,33,"39,5",,1983,,1,1,,
1002,1,31,35,,1994,,1,1,,
1003,1,"36,5","36,5",,2003,,1,1,,
1004,1,34,38,,2014,,1,1,,
1005,1,30,31,,1981,,1,1,YOK,
1006,1,"34,5",51,,1985,,1,1,,
1007,1,25,35,,2014,,1,1,YOK,
1008,10,23,"29,5",,2014,9,1,1,YOK,
1009,10,19,29,,2015,9,1,1,YOK,
1010,10,24,24,,2014,9,1,1,YOK,
1011,12,25,35,,1967,,1,1,YOK,
1012,10,25,40,,2014,9,1,1,YOK,
1013,10,21,32,,2014,9,1,1,YOK,
1014,10,13,"45,5",,2014,9,1,1,YOK,
1015,10,"22,5",42,,2014,9,1,1,YOK,
1016,10,18,25,,2014,9,1,1,YOK,
1017,10,24,"24,5",,2014,9,1,1,YOK,
1018,10,"12,5","31,5",,2014,9,1,1,YOK,
1019,10,"22,5",36,,2014,9,1,1,YOK,
1020,10,"14,5","47,5",,2014,9,1,1,YOK,
1021,10,24,38,,2014,9,1,1,YOK,
1022,10,"22,5",35,,2014,9,1,1,YOK,
1023,10,"15,5",38,,2014,9,1,1,YOK,
1024,10,"18,5",28,,2014,9,1,1,YOK,
1025,10,12,"27,5",,2014,9,1,1,YOK,
1026,10,27,31,,2014,9,1,1,YOK,
1027,10,"25,5","28,5",,2014,9,1,1,YOK,
1028,10,"23,5","31,5",,2015,9,1,1,YOK,
1029,10,17,37,,2014,9,1,1,YOK,
1030,10,29,39,,2014,9,1,1,YOK,
1031,10,"21,5","30,5",,2014,9,1,1,YOK,
1032,10,16,23,,2014,9,1,1,YOK,
1033,10,"17,5","22,5",,2014,9,1,1,YOK,
1034,10,"16,5",46,,2015,9,1,1,YOK,
1035,10,"23,5","33,5",,2014,9,1,1,YOK,
1036,10,"18,5","23,5",,2014,9,1,1,YOK,
1037,10,25,35,,2014,9,1,1,YOK,
1038,10,"22,5",31,,2014,9,1,1,YOK,
1039,10,25,25,,2014,9,1,1,YOK,
1040,10,"23,5",33,,2014,9,1,1,YOK,
1041,10,"24,5","34,5",,2014,9,1,1,YOK,
1042,10,19,28,,2014,9,1,1,YOK,
1043,10,24,24,,2014,9,1,1,YOK,
1044,10,14,"28,5",,2014,9,1,1,YOK,
1045,10,"25,5","40,5",,2015,9,1,1,YOK,
1046,10,"22,5",36,,2015,9,1,1,YOK,
1047,10,25,31,,2015,9,1,1,YOK,
1048,10,"23,5","30,5",,2015,9,1,1,YOK,
1049,10,26,37,,2015,9,1,1,YOK,
1050,10,16,20,,2015,9,1,1,YOK,
1051,10,"18,5","32,5",,2014,9,1,1,YOK,
1052,10,"22,5",27,,2014,9,1,1,YOK,
1053,10,24,24,,2014,9,1,1,YOK,
1054,10,"22,5","27,5",,2014,9,1,1,YOK,
1055,10,"24,5","30,5",,2014,9,1,1,YOK,
1056,10,25,"28,5",,2014,9,1,1,YOK,
1057,10,"27,5",33,,2014,9,1,1,YOK,
1058,10,23,34,,2014,9,1,1,YOK,
1059,10,"24,5",28,,2014,9,1,1,YOK,
1060,10,21,42,,2014,9,1,1,YOK,
1061,10,24,24,,2014,9,1,1,YOK,
1062,10,21,35,,2014,9,1,1,YOK,
1063,10,24,31,,2015,9,1,1,YOK,
1064,10,23,42,,2014,9,1,1,YOK,
1065,10,26,"38,5",,2015,9,1,1,YOK,
1066,9,29,34,,2015,,1,1,YOK,
1067,10,"17,5","47,5",,2015,9,1,1,YOK,
1068,10,"26,5","33,5",,2015,9,1,1,YOK,
1069,10,28,"29,5",,2015,9,1,1,YOK,
1070,10,23,30,,2015,9,1,1,YOK,
1071,10,22,39,,2015,9,1,1,YOK,
1072,10,"18,5","23,5",,2015,9,1,1,YOK,
1073,10,"25,5",31,,2015,9,1,1,YOK,
1074,10,23,"33,5",,2015,9,1,1,YOK,
1075,10,23,34,,2015,9,1,1,YOK,
1076,10,23,"47,5",,2015,9,1,1,YOK,
1077,10,"25,5","25,5",,2015,9,1,1,YOK,
1078,10,19,35,,2015,9,1,1,YOK,
1079,10,25,"30,5",,2015,9,1,1,YOK,
1080,10,"21,5","29,5",,2015,9,1,1,YOK,
1081,10,23,"33,5",,2015,9,1,1,YOK,
1082,10,"25,5","32,5",,2015,9,1,1,YOK,
1083,10,"23,5",36,,2015,9,1,1,YOK,
1084,10,29,"39,5",,2015,9,1,1,YOK,
1085,10,"14,5","28,5",,2015,9,1,1,YOK,
1086,10,27,4,,2015,9,1,1,YOK,
1087,10,22,"52,5",,2015,9,1,1,YOK,
1088,10,32,32,,2015,9,1,1,YOK,
1089,10,"22,5","26,5",,2015,9,1,1,YOK,
1090,10,24,30,,2015,9,1,1,YOK,
1091,10,18,23,,2015,9,1,1,YOK,
1092,1,"29,5",42,,2010,2,1,1,,
1093,1,"24,5",36,,2015,2,1,1,,
1094,1,28,"29,5",,2015,4,1,1,,
1095,1,20,50,,2015,4,1,1,,
1096,1,31,"41,5",,2014,3,1,1,,
1097,1,35,48,,1986,6,1,1,,
1098,1,21,"45,5",,2015,4,1,1,,
1099,1,22,35,,2015,6,1,1,,
1100,1,74,80,,1990,1,1,1,YOK,
1101,1,80,80,,1990,1,1,1,YOK,
1102,1,71,71,,1975,1,1,1,YOK,
1103,1,80,81,,1990,1,1,1,YOK,
1104,1,74,89,,1990,1,1,1,YOK,
1105,1,"70,5","100,5",,1991,1,1,1,YOK,
1106,1,"70,5",101,,1991,1,1,1,YOK,
1107,1,80,90,,1992,1,1,1,YOK,
1108,1,"70,5",101,,1991,1,1,1,YOK,
1109,1,79,89,,1991,1,1,1,YOK,
1110,1,"70,5","100,5",,1991,1,1,1,YOK,
1111,1,80,90,,1991,1,1,1,YOK,
1112,1,70,112,,1990,1,1,1,YOK,
1113,1,79,89,,1991,1,1,1,YOK,
1114,1,79,80,,1990,1,1,1,YOK,
1115,1,"69,5","100,5",,1991,1,1,1,YOK,
1116,1,"70,5","100,5",,1991,1,1,1,YOK,
1117,1,73,92,,1988,1,1,1,YOK,
1118,1,74,90,,1990,1,1,1,YOK,
1119,1,74,74,,1990,1,1,1,YOK,
1120,1,70,100,,1991,1,1,1,YOK,
1121,1,"70,5",101,,1991,1,1,1,YOK,
1122,1,"70,5","100,5",,1991,1,1,1,YOK,
1123,1,70,100,,1991,1,1,1,YOK,
1124,1,70,100,,1991,1,1,1,YOK,
1125,1,59,90,,1989,1,1,1,YOK,
1126,1,55,80,,1992,1,1,1,YOK,
1127,1,55,75,,2008,1,1,1,YOK,
1128,1,45,90,,2008,1,1,1,YOK,
1129,1,60,70,,1995,1,1,1,YOK,
1130,1,60,70,,1988,1,1,1,YOK,
1131,1,40,60,,2007,1,1,1,,
1132,1,36,51,,1984,1,1,1,,
1133,1,40,60,,1988,1,1,1,,
1134,1,38,50,,1976,1,1,1,,
1135,1,38,38,,1986,1,1,1,,
1136,1,37,37,,1985,1,1,1,,
1137,1,35,50,,1992,1,1,1,,
1138,1,38,38,,1988,1,1,1,,
1139,1,37,38,,1989,1,1,1,,
1140,1,30,42,,1991,1,1,1,,
1141,1,40,70,,2012,1,1,1,,
1142,1,40,60,,2010,1,1,1,,
1143,1,20,40,,1993,6,1,1,,
1144,1,38,38,,1985,1,1,1,,
1145,1,24,35,,1993,6,1,1,,
1146,1,40,"49,5",,1977,6,1,1,,
1147,1,45,55,,2009,1,1,1,,
1148,1,"37,5","37,5",,2012,1,1,1,,
1149,1,25,25,,1993,6,1,1,,
1150,1,40,50,,1977,6,1,1,,
1151,1,"37,5","37,5",,1980,1,1,1,,
1152,1,35,"42,5",,1981,1,1,1,,
1153,1,"31,5",40,,1982,1,1,1,,
1154,1,41,45,,1982,6,1,1,,
1155,1,"37,5","37,5",,1981,1,1,1,,
1156,1,32,40,,1985,6,1,1,,
1157,1,37,37,,1985,1,1,1,,
1158,1,35,35,,1988,1,1,1,,
1159,1,35,35,,1984,1,1,1,,
1160,1,37,37,,1985,1,1,1,,
1161,1,35,40,,2012,1,1,1,,
1162,1,36,36,,1985,1,1,1,,
1163,1,35,35,,1988,1,1,1,,
1164,1,18,25,,1993,6,1,1,,
1165,1,28,40,,1988,3,1,1,,
1166,1,24,"31,5",,1991,6,1,1,PARLAK,
1167,1,"40,5",41,,1994,1,1,1,,
1168,1,29,40,,1985,1,1,1,,
1169,1,34,36,,1988,1,1,1,,
1170,1,34,43,,1988,1,1,1,,
1171,1,21,27,,2010,3,1,1,,
1172,1,30,35,,1996,1,1,1,PARLAK,
1173,1,35,35,,1988,1,1,1,,
1174,1,30,50,,1994,6,1,1,,
1175,1,35,"45,5",,1988,6,1,1,,
1176,1,22,35,,1993,6,1,1,KİRLİ,KİRLİ
1177,1,37,37,,1988,1,1,1,,
1178,1,37,37,,1986,1,1,1,,
1179,1,"14,5",30,,1994,6,1,1,,
1180,1,"23,5",26,,1984,6,1,1,,
1181,1,34,41,,1985,6,1,1,,
1182,1,30,40,,1982,6,1,1,,
1183,1,22,32,,1993,6,1,1,,
1184,1,"29,5",40,,2009,1,1,1,,
1185,1,30,40,,1983,6,1,1,,
1186,1,34,42,,1988,1,1,1,,
1187,1,35,45,,2010,1,1,1,,
1188,1,"34,5",45,,1977,1,1,1,,
1189,1,37,37,,1988,1,1,1,,
1190,1,37,42,,1984,6,1,1,,
1191,1,32,39,,1986,1,1,1,,
1192,1,30,40,,2009,1,1,1,,
1193,1,38,38,,1986,1,1,1,,
1194,1,30,40,,2013,1,1,1,,
1195,1,30,45,,1992,1,1,1,,
1196,1,38,38,,1994,6,1,1,,
1197,1,38,38,,1988,1,1,1,,
1198,1,30,40,,2009,1,1,1,,
1199,1,35,45,,2010,1,1,1,,
1200,1,35,50,,2010,1,1,1,,
1201,1,80,"89,5",,1992,1,1,1,YOK,
1202,1,70,100,,1991,1,1,1,YOK,
1203,1,70,100,,1990,1,1,1,YOK,
1204,1,70,100,,1991,1,1,1,YOK,
1205,1,70,100,,1991,1,1,1,YOK,
1206,1,64,94,,1978,1,1,1,YOK,
1207,1,80,80,,1994,1,1,1,YOK,
1208,1,80,80,,1995,1,1,1,YOK,
1209,1,80,80,,1993,1,1,1,YOK,
1210,1,80,80,,1993,1,1,1,YOK,
1211,1,80,80,,1995,1,1,1,YOK,
1212,1,80,80,,1990,1,1,1,YOK,
1213,1,76,76,,1991,1,1,1,YOK,
1214,1,75,75,,1995,1,1,1,YOK,
1215,1,76,76,,1995,1,1,1,YOK,
1216,1,75,75,,1992,1,1,1,YOK,
1217,1,71,71,,1992,1,1,1,YOK,
1218,1,65,75,,1991,1,1,1,YOK,
1219,1,60,84,,1990,1,1,1,YOK,
1220,1,60,81,,1989,1,1,1,YOK,
1221,1,54,75,,1993,6,1,1,YOK,
1222,1,57,76,,1992,1,1,1,YOK,
1223,1,55,80,,1991,1,1,1,YOK,
1224,1,60,80,,1976,1,1,1,YOK,
1225,1,56,75,,1993,6,1,1,YOK,
1226,1,80,80,,1982,1,1,1,YOK,
1227,1,80,80,,1993,1,1,1,YOK,
1228,1,71,80,,2006,1,1,1,YOK,
1229,1,70,80,,1976,1,1,1,YOK,
1230,1,71,71,,1994,1,1,1,YOK,
1231,1,71,71,,1993,1,1,1,YOK,
1232,,70,70,,,,1,1,YOK,
1233,1,70,90,,1986,1,1,1,YOK,
1234,1,68,69,,1994,1,1,1,YOK,
1235,1,59,70,,1979,1,1,1,YOK,
1236,1,70,70,,1976,1,1,1,YOK,
1237,1,60,70,,1988,1,1,1,YOK,
1238,1,60,60,,1976,1,1,1,YOK,
1239,1,56,80,,1989,1,1,1,YOK,
1240,1,57,75,,2000,1,1,1,YOK,
1241,1,56,74,,1983,1,1,1,YOK,
1242,1,50,70,,1980,1,1,1,YOK,
1243,1,59,70,,1989,1,1,1,YOK,
1244,1,59,59,,1977,1,1,1,YOK,
1245,1,50,58,,1977,6,1,1,YOK,
1246,1,50,59,,1975,1,1,1,YOK,
1247,1,50,50,,1976,6,1,1,YOK,
1248,1,50,70,,1978,1,1,1,YOK,
1249,1,50,70,,1974,1,1,1,YOK,
1250,1,50,70,,1970,1,1,1,YOK,
1251,1,49,70,,2010,,1,1,YOK,
1252,,,,,,,1,21,YOK,
1253,1,"48,5",69,,2010,1,1,1,YOK,
1254,1,50,70,,2010,1,1,1,YOK,
1255,1,50,70,,2005,1,1,1,YOK,
1256,1,,,,,,1,18,YOK,
1257,1,,,,,,1,5,YOK,
1258,1,49,70,,2010,1,1,1,YOK,
1259,1,49,69,,2010,1,1,1,YOK,
